"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"15"	"15"	29.53
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"16"	"16"	28.49
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"17"	"17"	27.90
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"18"	"18"	28.73
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"19"	"19"	27.98
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"20"	"20"	27.03
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"21"	"21"	27.89
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"22"	"22"	29.66
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"23"	"23"	29.13
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"24"	"24"	28.26
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"25"	"25"	29.39
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"26"	"26"	30.25
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"27"	"27"	30.26
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"28"	"28"	29.72
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"29"	"29"	30.12
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"30"	"30"	30.57
	"California"	"06"	"1999"	"1999"	"Jul"	"7"	"31"	"31"	29.96
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"1"	"1"	29.49
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"2"	"2"	30.28
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"3"	"3"	31.00
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"4"	"4"	31.19
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"5"	"5"	27.43
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"6"	"6"	23.54
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"7"	"7"	24.85
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"8"	"8"	26.54
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"9"	"9"	28.22
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"10"	"10"	25.99
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"11"	"11"	26.76
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"12"	"12"	28.85
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"13"	"13"	28.57
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"14"	"14"	27.74
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"15"	"15"	28.67
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"16"	"16"	31.10
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"17"	"17"	32.17
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"18"	"18"	30.92
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"19"	"19"	31.40
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"20"	"20"	31.42
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"21"	"21"	31.72
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"22"	"22"	33.92
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"23"	"23"	32.74
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"24"	"24"	33.29
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"25"	"25"	34.56
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"26"	"26"	35.07
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"27"	"27"	32.58
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"28"	"28"	32.14
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"29"	"29"	31.80
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"30"	"30"	24.94
	"California"	"06"	"1999"	"1999"	"Aug"	"8"	"31"	"31"	25.57
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"1"	"1"	24.79
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"2"	"2"	25.24
	"California"	"06"	"1999"	"1999"	"Sep"	"9"	"3"	"3"	25.96
