"Notes"	"Region"	"Region Code"	"State"	"State Code"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Dec, 2010"	"2010/12"	2.25
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jan, 2011"	"2011/01"	1.00
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Feb, 2011"	"2011/02"	4.49
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Mar, 2011"	"2011/03"	11.98
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Apr, 2011"	"2011/04"	18.05
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"May, 2011"	"2011/05"	23.11
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jun, 2011"	"2011/06"	31.14
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Jul, 2011"	"2011/07"	37.28
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Aug, 2011"	"2011/08"	34.80
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Sep, 2011"	"2011/09"	26.89
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Oct, 2011"	"2011/10"	20.53
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Nov, 2011"	"2011/11"	11.72
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"	"Dec, 2011"	"2011/12"	4.75
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Adams County, NE"	"31001"			17.85
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Jan, 1999"	"1999/01"	-2.56
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Feb, 1999"	"1999/02"	5.38
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Mar, 1999"	"1999/03"	8.13
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"Apr, 1999"	"1999/04"	13.79
	"Census Region 2: Midwest"	"CENS-R2"	"Nebraska"	"31"	"Antelope County, NE"	"31003"	"May, 1999"	"1999/05"	21.31
