"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Day of Month"	"Day of Month Code"	Avg Daily Max Air Temperature (C)
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"13"	"13"	29.92
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"14"	"14"	31.41
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"15"	"15"	32.04
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"16"	"16"	30.69
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"17"	"17"	29.86
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"18"	"18"	28.51
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"19"	"19"	29.10
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"20"	"20"	29.41
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"21"	"21"	30.08
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"22"	"22"	29.97
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"23"	"23"	30.37
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"24"	"24"	30.48
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"25"	"25"	30.55
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"26"	"26"	29.99
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"27"	"27"	30.19
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"28"	"28"	30.93
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"29"	"29"	31.04
	"Florida"	"12"	"1999"	"1999"	"Jun"	"6"	"30"	"30"	30.71
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"1"	"1"	29.77
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"2"	"2"	29.14
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"3"	"3"	29.73
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"4"	"4"	29.88
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"5"	"5"	31.24
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"6"	"6"	31.25
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"7"	"7"	31.09
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"8"	"8"	31.31
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"9"	"9"	31.53
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"10"	"10"	31.49
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"11"	"11"	31.76
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"12"	"12"	31.82
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"13"	"13"	30.54
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"14"	"14"	30.65
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"15"	"15"	30.98
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"16"	"16"	31.06
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"17"	"17"	30.24
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"18"	"18"	30.44
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"19"	"19"	31.91
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"20"	"20"	32.11
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"21"	"21"	33.48
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"22"	"22"	33.02
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"23"	"23"	32.58
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"24"	"24"	33.04
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"25"	"25"	32.64
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"26"	"26"	32.48
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"27"	"27"	33.47
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"28"	"28"	34.08
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"29"	"29"	33.39
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"30"	"30"	33.50
	"Florida"	"12"	"1999"	"1999"	"Jul"	"7"	"31"	"31"	34.60
	"Florida"	"12"	"1999"	"1999"	"Aug"	"8"	"1"	"1"	35.42
	"Florida"	"12"	"1999"	"1999"	"Aug"	"8"	"2"	"2"	35.85
